DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2017,70.6,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2018,71.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2019,74.4,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2020,72.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2021,72.3,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2022,74.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2023,73.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2024,74.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2015,83.6,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2016,83.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2017,84.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2018,84.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2019,84.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2020,83.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2021,83.3,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2022,83.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2023,84.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Switzerland,2024,83.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2015,66.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2016,68.6,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2017,70.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2018,73.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2019,76.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2020,76.6,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2021,77.4,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2022,79.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2023,79.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Cyprus,2024,80.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2015,77.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2016,79.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2017,80.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2018,81.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2019,81.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2020,81.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2021,81.3,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2022,82.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2023,81.6,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Czechia,2024,81.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2015,78.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2016,78.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2017,78.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2018,79.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2019,80.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2020,78.9,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2021,79.1,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2022,80.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2023,80.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Germany,2024,80.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2015,75.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2016,75.5,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2017,76.0,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2018,76.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2019,78.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2020,77.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2021,78.4,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2022,79.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2023,78.9,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Denmark,2024,79.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2015,69.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2016,70.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2017,71.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2018,72.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2019,73.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2020,71.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2021,72.5,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2022,74.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2023,74.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),2024,74.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2015,74.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2016,75.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2017,76.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2018,77.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2019,78.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2020,75.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2021,75.6,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2022,77.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2023,77.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Estonia,2024,76.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2015,59.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2016,61.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2017,62.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2018,64.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2019,65.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2020,65.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2021,66.4,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2022,70.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2023,70.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Greece,2024,72.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2015,62.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2016,64.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2017,66.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2018,67.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2019,68.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2020,66.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2021,67.5,bd,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2022,69.3,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2023,70.0,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Spain,2024,70.5,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2015,69.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2016,70.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2017,72.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2018,73.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2019,73.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2020,72.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2021,73.3,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2022,74.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2023,75.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),2024,75.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2015,69.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2016,70.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2017,71.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2018,73.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2019,74.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2020,73.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2021,73.6,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2022,74.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2023,73.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Finland,2024,72.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2015,67.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2016,67.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2017,68.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2018,68.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2019,68.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2020,68.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2021,70.1,bd,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2022,70.8,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2023,71.0,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,France,2024,71.6,d,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2015,60.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2016,61.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2017,63.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2018,65.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2019,66.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2020,67.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2021,68.6,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2022,69.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2023,69.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Croatia,2024,71.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Hungary,2015,70.3,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Hungary,2016,73.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Hungary,2017,75.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Hungary,2018,76.5,b,
