DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2020,94835.53,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2021,99420.98,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2022,94259.04,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2013,43241.93,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2014,45801.04,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2015,48775.27,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2016,46117.57,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2017,48291.58,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2018,44388.94,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2019,43038.78,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2020,37052.41,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2021,42913.98,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Bulgaria,2022,47588.46,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2013,47998.25,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2014,44065.95,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2015,43727.92,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2016,44419.44,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2017,43573.48,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2018,42580.02,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2019,42516.83,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2020,36380.63,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2021,38193.58,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Switzerland,2022,37099.08,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2013,7369.05,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2014,7736.2,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2015,7732.02,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2016,8242.95,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2017,8485.8,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2018,8386.1,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2019,8379.3,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2020,7261.01,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2021,7644.38,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Cyprus,2022,7912.86,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2013,108412.93,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2014,105970.27,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2015,106714.52,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2016,108383.21,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2017,109556.62,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2018,108292.06,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2019,102941.83,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2020,92667.98,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2021,97759.77,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Czechia,2022,96525.31,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2013,857274.89,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2014,817149.84,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2015,825320.97,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2016,824477.44,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2017,813765.67,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2018,790108.67,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2019,739624.47,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2020,662098.37,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2021,696944.05,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Germany,2022,698655.25,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2013,44620.36,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2014,40605.65,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2015,38072.27,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2016,40058.42,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2017,37881.39,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2018,37945.82,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2019,34335.07,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2020,29525.03,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2021,31100.14,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Denmark,2022,30825.67,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2013,19777.06,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2014,18927.27,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2015,15929.9,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2016,17570.8,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2017,18795.37,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2018,18009.28,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2019,12498.43,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2020,9270.36,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2021,10519.94,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Estonia,2022,11929.38,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2013,84179.71,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2014,81465.62,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2015,77795.75,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2016,74438.75,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2017,78276.67,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2018,75636.68,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2019,69725.17,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2020,56881.71,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2021,60030.85,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Greece,2022,62021.27,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2013,265380.05,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2014,268194.95,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2015,284826.23,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2016,275330.55,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2017,290511.73,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2018,286398.64,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2019,269016.54,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2020,218040.13,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2021,237325.85,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Spain,2022,249631.38,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2013,3289891.62,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2014,3155072.44,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2015,3214927.39,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2016,3220035.7,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2017,3252872.17,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2018,3191511.8,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2019,3049138.28,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2020,2694622.19,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2021,2884138.79,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",European Union - 27 countries (from 2020),2022,2857418.85,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2013,53728.41,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2014,49600.23,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2015,46211.38,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2016,49276.05,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2017,46810.73,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2018,48177.36,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2019,45071.04,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2020,38636.1,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2021,38679.69,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Finland,2022,38047.68,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2013,384822.93,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2014,353103,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2015,358845.04,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2016,361476.57,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2017,364510.68,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2018,349910.22,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2019,344132.28,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2020,297726.72,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2021,323825.19,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",France,2022,316570.94,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Croatia,2013,18772.59,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Croatia,2014,18025.3,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Croatia,2015,18157.09,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Croatia,2016,18465.73,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Croatia,2017,19168.16,,
