DATAFLOW,LAST UPDATE,freq,unit,facility,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Cyprus,2019,311.47,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2011,706.32,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2012,693.02,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2013,670.16,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2014,667.63,b,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2015,666.72,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2016,666.45,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2017,662.74,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2018,661.82,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Czechia,2019,658.04,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2011,837.84,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2012,833.62,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2013,827.77,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2014,822.82,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2015,813.31,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2016,806.26,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2017,800.23,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2018,798.35,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Germany,2019,791.48,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2011,312.95,b,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2013,307.06,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2014,268.88,b,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2015,253.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2016,259.62,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2017,260.83,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2018,261.17,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Denmark,2019,259.29,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2011,535.92,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2012,552.58,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2013,490.29,b,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2014,489.53,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2015,482.13,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2016,468.62,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2017,460.61,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2018,453.49,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Estonia,2019,453.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2011,447.48,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2012,444.54,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2013,424.16,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2014,423.78,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2015,424.60,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2016,420.13,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2017,420.91,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2018,419.77,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Greece,2019,418.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2011,304.63,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2012,299.09,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2013,296.34,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2014,296.63,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2015,297.92,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2016,296.59,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2017,297.43,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2018,297.15,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Spain,2019,294.60,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2011,567.62,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2012,563.01,e,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2013,556.81,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2014,551.89,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2015,549.02,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2016,545.14,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2017,541.21,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2018,538.18,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 27 countries (from 2020),2019,531.97,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2011,532.45,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2012,527.37,e,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2013,521.19,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2014,516.41,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2015,512.20,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2016,508.19,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2017,504.11,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),European Union - 28 countries (2013-2020),2018,500.78,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2011,552.14,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2012,529.83,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2013,487.21,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2014,453.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2015,435.33,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2016,397.34,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2017,328.09,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2018,361.18,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Finland,2019,334.59,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2011,635.99,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2012,633.94,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2013,627.18,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2014,619.68,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2015,613.46,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2016,605.88,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2017,598.02,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2018,590.85,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),France,2019,583.79,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2011,595.08,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2012,588.63,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2013,586.04,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2014,590.62,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2015,556.30,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2016,549.25,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2017,553.97,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2018,561.25,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Croatia,2019,566.48,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2011,719.65,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2012,700.07,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2013,703.73,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2014,698.43,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2015,699.41,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2016,700.15,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2017,701.90,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2018,695.07,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Hungary,2019,690.75,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2011,262.18,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2012,254.20,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2013,256.00,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2014,257.40,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2015,292.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2016,295.94,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2017,297.02,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2018,297.39,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Ireland,2019,288.04,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2011,329.14,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2012,324.59,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2013,322.15,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2014,316.14,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2015,311.96,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Iceland,2016,313.32,,
